관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면정보,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 신창동 1197-1,광산구 신창로48번길 53-13,1,200만,360도,30일,2019,35.190415,126.840074,2023-06-30
광주광역시 사회재난과,광산구 신창동 1197-1,광산구 신창로48번길 53-13,1,200만,360도,30일,2022,35.190415,126.840074,2023-06-30
광주광역시 사회재난과,광산구 신창동 1209-1,광산구 신창로48번길 36,1,200만,360도,30일,2009,35.18956674,126.8390533,2023-06-30
광주광역시 사회재난과,광산구 신창동 1209-1,광산구 신창로48번길 36,2,200만,360도,30일,2019,35.18956674,126.8390533,2023-06-30
광주광역시 사회재난과,광산구 신창동 1209-1,광산구 신창로48번길 36,1,200만,360도,30일,2022,35.18956674,126.8390533,2023-06-30
광주광역시 사회재난과,광산구 신창동 1222-4,광산구 신창로72번길 10-29,1,200만,360도,30일,2013,35.191604,126.8391871,2023-06-30
광주광역시 사회재난과,광산구 신창동 1222-4,광산구 신창로72번길 10-29,1,200만,360도,30일,2018,35.191604,126.8391871,2023-06-30
광주광역시 사회재난과,광산구 신창동 1222-4,광산구 신창로72번길 10-29,1,200만,360도,30일,2022,35.191604,126.8391871,2023-06-30
광주광역시 사회재난과,광산구 신창동 1221-2,광산구 장신로 261,1,200만,360도,30일,2010,35.1911525,126.8391098,2023-06-30
광주광역시 사회재난과,광산구 신창동 1221-2,광산구 장신로 261,1,200만,360도,30일,2022,35.1911525,126.8391098,2023-06-30
광주광역시 사회재난과,광산구 신창동 1231,,2,200만,360도,30일,2022,35.19348384,126.8384024,2023-06-30
광주광역시 사회재난과,광산구 신창동 634-4,,1,200만,360도,30일,2013,35.193839,126.847084,2023-06-30
광주광역시 사회재난과,광산구 신창동 634-4,,1,200만,360도,30일,2018,35.193839,126.847084,2023-06-30
광주광역시 사회재난과,광산구 신창동 634-4,,1,200만,360도,30일,2022,35.193839,126.847084,2023-06-30
광주광역시 사회재난과,광산구 신창동 650-7,광산구 북문대로419번길 51,2,200만,360도,30일,2019,35.192632,126.846565,2023-06-30
광주광역시 사회재난과,광산구 신창동 650-7,광산구 북문대로419번길 51,1,200만,360도,30일,2021,35.192632,126.846565,2023-06-30
광주광역시 사회재난과,광산구 신창동 999,광산구 왕버들로322번길 26,1,200만,360도,30일,2010,35.193009,126.843101,2023-06-30
